time-ns,LogName,queueDelay,queueDelayMax,queueDelayMinAvg,sRtt,cwnd,bytesInFlightLog,rateTransmitted,isInFastStart,curMss,rtpQueueDelay,bytes,size,targetBitrate,rateRtp,packetsRtp,rateTransmittedStream,rateAcked,rateLost,rateCe,packetsCe,hiSeqTx,hiSeqAck,SeqDiff,packetetsRtpCleared,packetsLost,rtpqueue_full,force_idr,rate_updates
58812362079671, Log, 0.000, 0.001, 0.000, 0.000,   8891,   5322,    797, 0, 0,0.006, 0,0,  9000,    756, 5916,    797,   1502,     0,     0, 0,  8689,  8689, 0, 0,0,0,0,14
58813362650272, Log, 0.000, 0.001, 0.000, 0.000,   7429,   9674,    885, 0, 0,0.006, 0,0,  9000,    790, 6067,    885,   1549,     0,     0, 0,  8840,  8840, 0, 0,0,0,0,14
58814363134489, Log, 0.000, 0.001, 0.000, 0.002,   8142,  11837,   1142, 0, 0,0.008, 0,0,  9000,   1044, 6228,   1142,   1920,     0,     0, 0,  9001,  9001, 0, 0,0,0,0,14
58815364136424, Log, 0.000, 0.001, 0.000, 0.001,   9286,   8959,    961, 0, 0,0.006, 0,0,  9000,    880, 6393,    961,   1735,     0,     0, 0,  9166,  9166, 0, 0,0,0,0,14
58816365075478, Log, 0.000, 0.001, 0.000, 0.000,   8971,   6529,    592, 0, 0,0.004, 0,0,  9000,    484, 6534,    592,    916,     0,     0, 0,  9307,  9307, 0, 0,0,0,0,14
58817366098772, Log, 0.000, 0.001, 0.000, 0.000,   6656,   4214,    451, 0, 0,0.004, 0,0,  9000,    466, 6653,    451,    233,     0,     0, 0,  9426,  9426, 0, 0,0,0,0,14
58818366993552, Log, 0.000, 0.001, 0.000, 0.000,   4855,   5494,    663, 0, 0,0.006, 0,0,  9000,    750, 6783,    663,      0,     0,     0, 0,  9556,  9556, 0, 0,0,0,0,14
58819368078831, Log, 0.000, 0.001, 0.000, 0.000,   5084,   7634,    788, 0, 0,0.006, 0,0,  9000,    837, 6931,    788,      0,     0,     0, 0,  9704,  9704, 0, 0,0,0,0,14
58820369096050, Log, 0.000, 0.001, 0.000, 0.003,   7197,  10887,    881, 0, 0,0.006, 0,0,  9000,    960, 7094,    881,      0,     0,     0, 0,  9867,  9867, 0, 0,0,0,0,14
58821370180996, Log, 0.000, 0.001, 0.000, 0.001,   8623,   8316,    785, 0, 0,0.006, 0,0,  9000,    841, 7252,    785,      0,     0,     0, 0, 10025, 10025, 0, 0,0,0,0,14
