timestamp,scan_id,num_points,quant_bits,comp_level,raw_size_bytes,compressed_size_bytes,encode_time_s,bits_per_scan,bits_per_second
2025-10-10 11:44:07,279,32149,15,4,385788,70155,0.008948,561240,5612400.0
2025-10-10 11:44:07,279,32149,15,5,385788,70155,0.009725,561240,5612400.0
2025-10-10 11:44:07,279,32149,15,6,385788,70063,0.009998,560504,5605040.0
2025-10-10 11:44:07,279,32149,15,7,385788,70063,0.008302,560504,5605040.0
2025-10-10 11:44:07,279,32149,15,8,385788,70112,0.008845,560896,5608960.0
2025-10-10 11:44:07,279,32149,15,9,385788,70112,0.008606,560896,5608960.0
2025-10-10 11:44:07,279,32149,16,0,385788,83617,0.010809,668936,6689360.0
2025-10-10 11:44:07,279,32149,16,1,385788,83617,0.008519,668936,6689360.0
2025-10-10 11:44:07,279,32149,16,2,385788,83617,0.012573,668936,6689360.0
2025-10-10 11:44:07,279,32149,16,3,385788,83617,0.010383,668936,6689360.0
2025-10-10 11:44:07,279,32149,16,4,385788,83617,0.008651,668936,6689360.0
2025-10-10 11:44:07,279,32149,16,5,385788,83617,0.011148,668936,6689360.0
2025-10-10 11:44:07,279,32149,16,6,385788,83617,0.010406,668936,6689360.0
2025-10-10 11:44:07,279,32149,16,7,385788,83617,0.008068,668936,6689360.0
2025-10-10 11:44:07,279,32149,16,8,385788,83617,0.009572,668936,6689360.0
2025-10-10 11:44:07,279,32149,16,9,385788,83617,0.008188,668936,6689360.0
2025-10-10 11:44:07,279,32149,17,0,385788,95636,0.009690,765088,7650880.0
2025-10-10 11:44:07,279,32149,17,1,385788,95636,0.010481,765088,7650880.0
2025-10-10 11:44:07,279,32149,17,2,385788,95636,0.010163,765088,7650880.0
2025-10-10 11:44:07,279,32149,17,3,385788,95636,0.008811,765088,7650880.0
2025-10-10 11:44:07,279,32149,17,4,385788,95636,0.009449,765088,7650880.0
2025-10-10 11:44:08,279,32149,17,5,385788,95636,0.008685,765088,7650880.0
2025-10-10 11:44:08,279,32149,17,6,385788,95636,0.009359,765088,7650880.0
2025-10-10 11:44:08,279,32149,17,7,385788,95636,0.007867,765088,7650880.0
2025-10-10 11:44:08,279,32149,17,8,385788,95636,0.008583,765088,7650880.0
2025-10-10 11:44:08,279,32149,17,9,385788,95636,0.008985,765088,7650880.0
2025-10-10 11:44:08,279,32149,18,0,385788,107681,0.009648,861448,8614480.0
2025-10-10 11:44:08,279,32149,18,1,385788,107681,0.011093,861448,8614480.0
2025-10-10 11:44:08,279,32149,18,2,385788,107681,0.010103,861448,8614480.0
2025-10-10 11:44:08,279,32149,18,3,385788,107681,0.010943,861448,8614480.0
2025-10-10 11:44:08,279,32149,18,4,385788,107681,0.010132,861448,8614480.0
2025-10-10 11:44:08,279,32149,18,5,385788,107681,0.009065,861448,8614480.0
2025-10-10 11:44:08,279,32149,18,6,385788,107681,0.010891,861448,8614480.0
2025-10-10 11:44:08,279,32149,18,7,385788,107681,0.010567,861448,8614480.0
2025-10-10 11:44:08,279,32149,18,8,385788,107681,0.009384,861448,8614480.0
2025-10-10 11:44:08,279,32149,18,9,385788,107681,0.010882,861448,8614480.0
